"","Senator","State","first.party"
"1746","William S. Vare","Pennsylvania","Republican"
"1747","Joseph Bradley Varnum","Massachusetts","Democratic-Republican"
"1748","Abraham B. Venable","Virginia","Democratic-Republican"
"1749","George Graham Vest","Missouri","Democratic"
"1750","George Vickers","Maryland","Democratic"
"1751","William Freeman Vilas","Wisconsin","Democratic"
"1752","John M. Vining","Delaware","Federalist"
"1753","David Vitter","Louisiana","Republican"
"1754","George Voinovich","Ohio","Republican"
"1755","Daniel W. Voorhees","Indiana","Democratic"
"1756","Benjamin Wade","Ohio","Whig"
"1757","Bainbridge Wadleigh","New Hampshire","Republican"
"1758","James W. Wadsworth Jr.","New York","Republican"
"1759","George A. Waggaman","Louisiana","National Republican"
"1760","Robert F. Wagner","New York","Democratic"
"1761","Frederic C. Walcott","Connecticut","Republican"
"1762","John Wales","Delaware","Whig"
"1763","Freeman Walker","Georgia","Democratic-Republican"
"1764","George Walker","Kentucky","Democratic-Republican"
"1765","Isaac P. Walker","Wisconsin","Democratic"
"1766","James D. Walker","Arkansas","Democratic"
"1767","John Walker","Virginia","Federalist"
"1768","John Williams Walker","Alabama","Democratic-Republican"
"1769","Robert J. Walker","Mississippi","Democratic"
"1770","Walter Walker","Colorado","Democratic"
"1771","Garret D. Wall","New Jersey","Democratic"
"1772","James Walter Wall","New Jersey","Democratic"
"1773","William A. Wallace","Pennsylvania","Democratic"
"1774","Monrad Wallgren","Washington","Democratic"
"1775","Malcolm Wallop","Wyoming","Republican"
"1776","Arthur Walsh","New Jersey","Democratic"
"1777","David I. Walsh","Massachusetts","Democratic"
"1778","John Walsh","Montana","Democratic"
"1779","Patrick Walsh","Georgia","Democratic"
"1780","Thomas J. Walsh","Montana","Democratic"
"1781","Herbert S. Walters","Tennessee","Democratic"
"1782","Edward C. Walthall","Mississippi","Democratic"
"1783","George Walton","Georgia","Federalist"
"1784","Matthias Ward","Texas","Democratic"
"1785","Nicholas Ware","Georgia","Democratic-Republican"
"1786","John Warner","Virginia","Republican"
"1787","Willard Warner","Alabama","Republican"
"1788","William Warner","Missouri","Republican"
"1789","Francis E. Warren","Wyoming","Republican"
"1790","William B. Washburn","Massachusetts","Republican"
"1791","William D. Washburn","Minnesota","Republican"
"1792","Charles W. Waterman","Colorado","Republican"
"1793","Arthur V. Watkins","Utah","Republican"
"1794","Clarence W. Watson","West Virginia","Democratic"
"1795","James Watson","New York","Federalist"
"1796","James Eli Watson","Indiana","Republican"
"1797","Thomas E. Watson","Georgia","Democratic"
"1798","Jim Webb","Virginia","Democratic"
"1799","William R. Webb","Tennessee","Democratic"
"1800","Daniel Webster","Massachusetts","National Republican"
"1801","John W. Weeks","Massachusetts","Republican"
"1802","Sinclair Weeks","Massachusetts","Republican"
"1803","Lowell Weicker","Connecticut","Republican"
"1804","Adonijah Welch","Florida","Republican"
"1805","Herman Welker","Idaho","Republican"
"1806","John B. Weller","California","Democratic"
"1807","Ovington E. Weller","Maryland","Republican"
"1808","George L. Wellington","Maryland","Democratic"
"1809","John S. Wells","New Hampshire","Democratic"
"1810","William H. Wells","Delaware","Federalist"
"1811","Paul Wellstone","Minnesota","Democratic"
"1812","J. Rodman West","Louisiana","Republican"
"1813","William S. West","Georgia","Democratic"
"1814","James Westcott","Florida","Democratic"
"1815","George P. Wetmore","Rhode Island","Republican"
"1816","Jesse Wharton","Tennessee","Democratic-Republican"
"1817","Burton K. Wheeler","Montana","Democratic"
"1818","Kenneth S. Wherry","Nebraska","Republican"
"1819","James Whitcomb","Indiana","Democratic"
"1820","Albert S. White","Indiana","Whig"
"1821","Edward D. White","Louisiana","Democratic"
"1822","Francis S. White","Alabama","Democratic"
"1823","Hugh Lawson White","Tennessee","Democratic"
"1824","Samuel White","Delaware","Federalist"
"1825","Stephen M. White","California","Democratic"
"1826","Wallace H. White Jr.","Maine","Republican"
"1827","Jenkin Whiteside","Tennessee","Democratic-Republican"
"1828","Washington C. Whitthorne","Tennessee","Democratic"
"1829","William Pinkney Whyte","Maryland","Democratic"
"1830","Louis T. Wigfall","Texas","Democratic"
"1831","Leonard Wilcox","New Hampshire","Democratic"
"1832","Alexander Wiley","Wisconsin","Republican"
"1833","Xenophon P. Wilfley","Missouri","Democratic"
"1834","William Wilkins","Pennsylvania","Democratic"
"1835","Morton S. Wilkinson","Minnesota","Republican"
"1836","Calvin Willey","Connecticut","National Republican"
"1837","Waitman T. Willey","VirginiaWest Virginia","Unionist"
"1838","Abram P. Williams","California","Republican"
"1839","George Henry Williams","Oregon","Republican"
"1840","George Howard Williams","Missouri","Republican"
"1841","Harrison A. Williams","New Jersey","Democratic"
"1842","Jared W. Williams","New Hampshire","Democratic"
"1843","John Williams","Tennessee","Democratic-Republican"
"1844","John J. Williams","Delaware","Republican"
"1845","John Sharp Williams","Mississippi","Democratic"
"1846","John Stuart Williams","Kentucky","Democratic"
"1847","Reuel Williams","Maine","Democratic"
"1848","Thomas Hickman Williams","Mississippi","Democratic"
"1849","Thomas Hill Williams","Mississippi","Democratic-Republican"
"1850","Ben M. Williamson","Kentucky","Democratic"
"1851","Frank B. Willis","Ohio","Republican"
"1852","Raymond E. Willis","Indiana","Republican"
"1853","David Wilmot","Pennsylvania","Republican"
"1854","Ephraim K. Wilson II","Maryland","Democratic"
"1855","George A. Wilson","Iowa","Republican"
"1856","Henry Wilson","Massachusetts","Free Soiler"
"1857","James F. Wilson","Iowa","Republican"
"1858","James J. Wilson","New Jersey","Democratic-Republican"
"1859","John L. Wilson","Washington","Republican"
"1860","Pete Wilson","California","Republican"
"1861","Robert Wilson","Missouri","Unionist"
"1862","William Windom","Minnesota","Republican"
"1863","Paine Wingate","New Hampshire","Democratic-Republican"
"1864","Robert C. Winthrop","Massachusetts","Whig"
"1865","Timothy E. Wirth","Colorado","Democratic"
"1866","Garrett L. Withers","Kentucky","Democratic"
"1867","Robert E. Withers","Virginia","Democratic"
"1868","Harris Wofford","Pennsylvania","Democratic"
"1869","Thomas A. Wofford","South Carolina","Democratic"
"1870","Edward O. Wolcott","Colorado","Republican"
"1871","Josiah O. Wolcott","Delaware","Democratic"
"1872","William Woodbridge","Michigan","Whig"
"1873","Levi Woodbury","New Hampshire","Democratic"
"1874","John D. Works","California","Republican"
"1875","Thomas Worthington","Ohio","Democratic-Republican"
"1876","George G. Wright","Iowa","Republican"
"1877","Joseph A. Wright","Indiana","Democratic"
"1878","Robert Wright","Maryland","Democratic-Republican"
"1879","Silas Wright Jr.","New York","Democratic"
"1880","William Wright","New Jersey","Democratic"
"1881","Louis C. Wyman","New Hampshire","Republican"
"1882","Ralph W. Yarborough","Texas","Democratic"
"1883","Richard Yates","Illinois","Republican"
"1884","Lafayette Young","Iowa","Republican"
"1885","Milton R. Young","North Dakota","Republican"
"1886","Richard M. Young","Illinois","Democratic"
"1887","Stephen M. Young","Ohio","Democratic"
"1888","David Levy Yulee","Florida","Democratic"
"1889","Edward Zorinsky","Nebraska","Democratic"
"1890","Richard Shelby","Alabama","Republican"
"1891","Doug Jones","Alabama","Democratic"
"1892","Lisa Murkowski","Alaska","Republican"
"1893","Dan Sullivan","Alaska","Republican"
"1894","Kyrsten Sinema","Arizona","Democratic"
"1895","Martha McSally[e]","Arizona","Republican"
"1896","John Boozman","Arkansas","Republican"
"1897","Tom Cotton","Arkansas","Republican"
"1898","Dianne Feinstein","California","Democratic"
"1899","Kamala Harris","California","Democratic"
"1900","Michael Bennet","Colorado","Democratic"
"1901","Cory Gardner","Colorado","Republican"
"1902","Richard Blumenthal","Connecticut","Democratic"
"1903","Chris Murphy","Connecticut","Democratic"
"1904","Tom Carper","Delaware","Democratic"
"1905","Chris Coons","Delaware","Democratic"
"1906","Marco Rubio","Florida","Republican"
"1907","Rick Scott","Florida","Republican"
"1908","Johnny Isakson","Georgia","Republican"
"1909","David Perdue","Georgia","Republican"
"1910","Brian Schatz","Hawaii","Democratic"
"1911","Mazie Hirono","Hawaii","Democratic"
"1912","Mike Crapo","Idaho","Republican"
"1913","Jim Risch","Idaho","Republican"
"1914","Dick Durbin","Illinois","Democratic"
"1915","Tammy Duckworth","Illinois","Democratic"
"1916","Todd Young","Indiana","Republican"
"1917","Mike Braun","Indiana","Republican"
"1918","Chuck Grassley","Iowa","Republican"
"1919","Joni Ernst","Iowa","Republican"
"1920","Pat Roberts","Kansas","Republican"
"1921","Jerry Moran","Kansas","Republican"
"1922","Mitch McConnell","Kentucky","Republican"
"1923","Rand Paul","Kentucky","Republican"
"1924","Bill Cassidy","Louisiana","Republican"
"1925","John Kennedy","Louisiana","Republican"
"1926","Susan Collins","Maine","Republican"
"1927","Angus King","Maine","Independent"
"1928","Ben Cardin","Maryland","Democratic"
"1929","Chris Van Hollen","Maryland","Democratic"
"1930","Elizabeth Warren","Massachusetts","Democratic"
"1931","Ed Markey","Massachusetts","Democratic"
"1932","Debbie Stabenow","Michigan","Democratic"
"1933","Gary Peters","Michigan","Democratic"
"1934","Amy Klobuchar","Minnesota","Democratic"
"1935","Tina Smith[f]","Minnesota","Democratic"
"1936","Roger Wicker","Mississippi","Republican"
"1937","Cindy Hyde-Smith[g]","Mississippi","Republican"
"1938","Roy Blunt","Missouri","Republican"
"1939","Josh Hawley","Missouri","Republican"
"1940","Jon Tester","Montana","Democratic"
"1941","Steve Daines","Montana","Republican"
"1942","Deb Fischer","Nebraska","Republican"
"1943","Ben Sasse","Nebraska","Republican"
"1944","Catherine Cortez Masto","Nevada","Democratic"
"1945","Jacky Rosen","Nevada","Democratic"
"1946","Jeanne Shaheen","New Hampshire","Democratic"
"1947","Maggie Hassan","New Hampshire","Democratic"
"1948","Bob Menendez","New Jersey","Democratic"
"1949","Cory Booker","New Jersey","Democratic"
"1950","Tom Udall","New Mexico","Democratic"
"1951","Martin Heinrich","New Mexico","Democratic"
"1952","Chuck Schumer","New York","Democratic"
"1953","Kirsten Gillibrand","New York","Democratic"
"1954","Richard Burr","North Carolina","Republican"
"1955","Thom Tillis","North Carolina","Republican"
"1956","John Hoeven","North Dakota","Republican"
"1957","Kevin Cramer","North Dakota","Republican"
"1958","Sherrod Brown","Ohio","Democratic"
"1959","Rob Portman","Ohio","Republican"
"1960","Jim Inhofe","Oklahoma","Republican"
"1961","James Lankford","Oklahoma","Republican"
"1962","Ron Wyden","Oregon","Democratic"
"1963","Jeff Merkley","Oregon","Democratic"
"1964","Bob Casey Jr.","Pennsylvania","Democratic"
"1965","Pat Toomey","Pennsylvania","Republican"
"1966","Jack Reed","Rhode Island","Democratic"
"1967","Sheldon Whitehouse","Rhode Island","Democratic"
"1968","Lindsey Graham","South Carolina","Republican"
"1969","Tim Scott","South Carolina","Republican"
"1970","John Thune","South Dakota","Republican"
"1971","Mike Rounds","South Dakota","Republican"
"1972","Lamar Alexander","Tennessee","Republican"
"1973","Marsha Blackburn","Tennessee","Republican"
"1974","John Cornyn","Texas","Republican"
"1975","Ted Cruz","Texas","Republican"
"1976","Mike Lee","Utah","Republican"
"1977","Mitt Romney","Utah","Republican"
"1978","Patrick Leahy","Vermont","Democratic"
"1979","Bernie Sanders","Vermont","Independent"
"1980","Mark Warner","Virginia","Democratic"
"1981","Tim Kaine","Virginia","Democratic"
"1982","Patty Murray","Washington","Democratic"
"1983","Maria Cantwell","Washington","Democratic"
"1984","Joe Manchin","West Virginia","Democratic"
"1985","Shelley Moore Capito","West Virginia","Republican"
"1986","Ron Johnson","Wisconsin","Republican"
"1987","Tammy Baldwin","Wisconsin","Democratic"
"1988","Mike Enzi","Wyoming","Republican"
"1989","John Barrasso","Wyoming","Republican"
